Week,Point,Date,Order,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,Cat. 6,Cat. 7,Cat. 8,Cat. 9,Cat. 10,Cat. 11,Cat. 12,Cat. 13,Cat. 14,Cat. 15,Cat. 16,Cat. 17,Cat. 18,Cat. 19,Cat. 20,OK,TotalPred,Bird,Lost
5,P03,06/08/2020,1,1,1,1,1,1,1,1,1,1,B,B,B,B,B,B,B,L,L,L,L,9,11,7,4
5,P06,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,16,4,0,4
5,P07,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,L,10,10,0,10
5,P08,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,17,3,0,3
5,P10,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,11,9,0,9
5,P11,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,L,L,L,L,14,6,2,4
5,P13,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,B,L,L,L,L,L,L,L,12,8,1,7
5,P16,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,16,4,0,4
5,P17,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,11,9,0,9
5,P19,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,B,L,L,L,L,L,L,L,12,8,1,7
5,P20,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,B,B,L,L,L,L,13,7,2,5
5,P21,06/08/2020,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,L,L,L,L,7,13,0,13
5,P24,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,L,L,L,L,14,6,2,4
5,P25,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,L,L,L,L,14,6,2,4
5,P26,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,B,L,L,L,L,L,12,8,3,5
5,P27,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,12,8,0,8
5,P28,06/08/2020,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,L,L,L,L,7,13,0,13
5,P29,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,12,8,0,8
5,P30,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,B,L,L,L,L,L,12,8,3,5
5,P31,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,13,7,0,7
5,P32,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,L,10,10,0,10
5,P33,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,12,8,0,8
5,P34,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,L,L,16,4,2,2
5,P35,06/08/2020,1,1,1,1,1,1,B,B,B,B,L,L,L,L,L,L,L,L,L,L,L,5,15,4,11
5,P36,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B,B,L,L,L,L,13,7,3,4
5,P37,06/08/2020,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,L,L,L,L,8,12,0,12
5,P38,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,L,L,L,12,8,0,8
5,P39,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,16,4,0,4
5,P40,06/08/2020,1,1,1,1,1,1,1,1,1,B,B,B,L,L,L,L,L,L,L,L,L,8,12,3,9
5,P41,06/08/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,L,L,L,L,15,5,0,5
5,P42,06/08/2020,1,1,1,1,1,1,1,1,1,B,L,L,L,L,L,L,L,L,L,L,L,8,12,1,11
