"S.No.","GuildFeed","Spec_code","TotDet","Migration75"
"1","Carnivore","But_but",2,"1"
"2","Carnivore","Fal_sp",2,"1"
"3","Carnivore","Pern_api",1,"2"
"4","Herbivore","Car_car",21,"1"
"5","Herbivore","Col_pal",18,"2"
"6","Herbivore","Chl_chl",7,"1"
"7","Herbivore","Lox_cur",2,"1"
"8","Invertebrate","Cer_sp",262,"0"
"9","Invertebrate","Reg_sp",204,"1"
"10","Invertebrate","Eri_rub",170,"2"
"11","Invertebrate","Phy_sp",114,"2"
"12","Invertebrate","Tro_tro",39,"2"
"13","Invertebrate","Pic_vir",20,"0"
"14","Invertebrate","Aeg_cau",16,"0"
"15","Invertebrate","Mus_str",14,"2"
"16","Invertebrate","Ant_sp",11,"2"
"17","Invertebrate","Pho_pho",9,"2"
"18","Invertebrate","Ori_ori",7,"2"
"19","Invertebrate","Dryo_min",4,"0"
"20","Invertebrate","Fic_sp",4,"2"
"21","Invertebrate","Hir_rus",2,"2"
"22","Invertebrate","Dry_mar",1,"0"
"23","Omnivore","Sit_eur",483,"0"
"24","Omnivore","Par_maj",325,"0"
"25","Omnivore","Cya_cae",287,"1"
"26","Omnivore","Tur_sp",170,"1"
"27","Omnivore","Den_sp",153,"0"
"28","Omnivore","Lop_cri",134,"0"
"29","Omnivore","Per_ate",101,"0"
"30","Omnivore","Poe_sp",72,"0"
"31","Omnivore","Fri_coe",63,"1"
"32","Omnivore","Gar_gla",53,"1"
"33","Omnivore","Syl_atr",47,"2"
"34","Omnivore","Emb_cit",9,"0"
"35","Omnivore","Coc_coc",8,"1"
"36","Omnivore","Cor_sp",2,"0"
"37","Omnivore","Pas_sp",1,"0"
"38","Omnivore","Pyr_pyr",1,"1"
"39","Omnivore","Stu_vul",1,"2"
